Data Analyst,$59K-$85K (Glassdoor est.),3.4,"Voice
3.4","Brooklyn, NY",-1,Unknown,-1,-1,Unknown / Non-Applicable
Data Analyst,$59K-$85K (Glassdoor est.),2.9,"NTT DATA, Inc.
2.9","New York, NY","Singapore, Singapore",201 to 500 employees,Accounting,Accounting & Legal,Unknown / Non-Applicable
Data Analyst,$43K-$76K (Glassdoor est.),4,"NYU Langone Health
4.0","New York, NY","New York, NY",10000+ employees,Health Care Services & Hospitals,Health Care,$5 to $10 billion (USD)
Healthcare Data/Reporting Analyst,$43K-$76K (Glassdoor est.),3.6,"HOMETEAM
3.6","New York, NY","New York, NY",51 to 200 employees,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
Data Analyst I - Geriatrics and Palliative Care,$43K-$76K (Glassdoor est.),3.4,"Mount Sinai Health System
3.4","New York, NY","New York, NY",10000+ employees,Health Care Services & Hospitals,Health Care,$1 to $2 billion (USD)
Data Analyst,$43K-$76K (Glassdoor est.),-1,Monkey Algorithms LLC,"New York, NY",-1,-1,-1,-1,-1
Data Analyst/Rochade,$43K-$76K (Glassdoor est.),3.3,"Halcyon Solutions, Inc.
3.3","New York, NY","Dublin, OH",51 to 200 employees,IT Services,Information Technology,$10 to $25 million (USD)
"Data Analyst, Revenue Analytics",$43K-$76K (Glassdoor est.),3.2,"Roman
3.2","New York, NY","Bloomingdale, IL",201 to 500 employees,-1,-1,$25 to $50 million (USD)
Data Analyst,$43K-$76K (Glassdoor est.),3.8,"COUNCIL ON ACCREDITATION
3.8","New York, NY","New York, NY",51 to 200 employees,Social Assistance,Non-Profit,$10 to $25 million (USD)
Data Analyst,$43K-$76K (Glassdoor est.),-1,APR Staffing,"New York, NY",-1,-1,-1,-1,-1
"Data Analyst II, Division of Gastroenterology (Research)",$43K-$76K (Glassdoor est.),3.4,"Mount Sinai Health System
3.4","New York, NY","New York, NY",10000+ employees,Health Care Services & Hospitals,Health Care,$1 to $2 billion (USD)
"Data Analyst, Student Success Program",$43K-$76K (Glassdoor est.),3.2,"Child Mind Institute
3.2","New York, NY","New York, NY",201 to 500 employees,Health Care Services & Hospitals,Health Care,$25 to $50 million (USD)
Big Data QA Analyst with Jupyter notebook,$43K-$76K (Glassdoor est.),3.2,"COOLSOFT
3.2","Newark, NJ","Louisville, KY",51 to 200 employees,"Health, Beauty, & Fitness",Consumer Services,$10 to $25 million (USD)
"Analyst, Data Centers Industry",$43K-$76K (Glassdoor est.),3.3,"451 Research
3.3","New York, NY","New York, NY",201 to 500 employees,Research & Development,Business Services,Unknown / Non-Applicable
Data Analyst,$43K-$76K (Glassdoor est.),-1,Stark HR Consulting LLC,"New York, NY",-1,-1,-1,-1,-1
Financial - Data Analyst,$43K-$76K (Glassdoor est.),3.8,"Amenity Analytics
3.8","New York, NY","New York, NY",51 to 200 employees,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
Data Analyst with Data Scanning and Profiling,$43K-$76K (Glassdoor est.),3.3,"Halcyon Solutions, Inc.
3.3","New York, NY","Dublin, OH",51 to 200 employees,IT Services,Information Technology,$10 to $25 million (USD)
Business Analyst - Data Governance,$43K-$76K (Glassdoor est.),4.1,"Rockstar Games
4.1","New York, NY","New York, NY",1001 to 5000 employees,Video Games,Media,$10 to $25 million (USD)
Senior Data Analyst - Health Economist,$43K-$76K (Glassdoor est.),2.9,"Vericred
2.9","New York, NY","New York, NY",1 to 50 employees,Internet,Information Technology,Unknown / Non-Applicable
Lead Data Insights Analyst,$43K-$76K (Glassdoor est.),-1,TapRm,"Brooklyn, NY","New York, NY",Unknown,-1,-1,Unknown / Non-Applicable
Research Analyst (Data Science),$43K-$76K (Glassdoor est.),3.4,"APCO Worldwide
3.4","New York, NY","Washington, DC",501 to 1000 employees,Consulting,Business Services,$100 to $500 million (USD)
Data Management Analyst,$43K-$76K (Glassdoor est.),2.5,"Brooklyn Community Services
2.5","Brooklyn, NY","Brooklyn, NY",201 to 500 employees,Social Assistance,Non-Profit,$25 to $50 million (USD)
Business Analyst / Data Analyst,$43K-$76K (Glassdoor est.),4.4,"Softcom Systems
4.4","Weehawken, NJ","Princeton, NJ",1 to 50 employees,IT Services,Information Technology,$1 to $5 million (USD)
Healthcare Data/Reporting Analyst,$43K-$76K (Glassdoor est.),3.9,"Diverse Lynx
3.9","New York, NY","Princeton, NJ",501 to 1000 employees,IT Services,Information Technology,$100 to $500 million (USD)
Clinical Data Analyst,$43K-$76K (Glassdoor est.),2.3,"Fair Health
2.3","New York, NY","New York, NY",1 to 50 employees,-1,-1,$10 to $25 million (USD)
Sr. Data Profiling Analyst,$43K-$76K (Glassdoor est.),3.6,"UBS
3.6","New York, NY","Zurich, Switzerland",10000+ employees,Investment Banking & Asset Management,Finance,$10+ billion (USD)
"Data Analytics Analyst or Associate, Cowen Sustainable Investments",$43K-$76K (Glassdoor est.),-1,"Cowen Group, Inc.","New York, NY","West Hartford, CT",1 to 50 employees,-1,-1,Unknown / Non-Applicable
Data Analyst,$43K-$76K (Glassdoor est.),3.6,"Workforce Logiq
3.6","Haworth, NJ","Orlando, FL",501 to 1000 employees,Consulting,Business Services,$50 to $100 million (USD)
Data Analyst,$43K-$76K (Glassdoor est.),3.3,"Cross River Bank
3.3","Fort Lee, NJ","Fort Lee, NJ",201 to 500 employees,Banks & Credit Unions,Finance,$50 to $100 million (USD)
"Sr. Data Analyst, Revenue Analytics, Peacock",$43K-$76K (Glassdoor est.),3.8,"NBCUniversal
3.8","New York, NY","New York, NY",10000+ employees,TV Broadcast & Cable Networks,Media,$10+ billion (USD)
Senior Data Analyst,$43K-$76K (Glassdoor est.),3.7,"Narrativ
3.7","New York, NY","New York, NY",1 to 50 employees,Internet,Information Technology,Unknown / Non-Applicable
Data Analyst,$43K-$76K (Glassdoor est.),-1,CompuForce,"New York, NY","New York, NY",Unknown,-1,-1,Unknown / Non-Applicable
Senior Data Analyst - Data Cataloging / Data Profiling,$43K-$76K (Glassdoor est.),3.6,"Perficient
3.6","New York, NY","Saint Louis, MO",1001 to 5000 employees,IT Services,Information Technology,$500 million to $1 billion (USD)
Data/Report Analyst,$60K-$110K (Glassdoor est.),4,"Lorven Technologies Inc
4.0","New York, NY","Plainsboro, NJ",1 to 50 employees,Accounting,Accounting & Legal,Less than $1 million (USD)
Senior Data Analyst,$60K-$110K (Glassdoor est.),4.1,"Bounce Exchange
4.1","New York, NY","New York, NY",201 to 500 employees,Advertising & Marketing,Business Services,Unknown / Non-Applicable
Human Capital Data Analyst,$60K-$110K (Glassdoor est.),4.5,"Green Key Resources
4.5","New York, NY","New York, NY",201 to 500 employees,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable
GIS Data analyst,$60K-$110K (Glassdoor est.),3.7,"22nd Century Technologies
3.7","New York, NY","Somerset, NJ",1001 to 5000 employees,IT Services,Information Technology,$25 to $50 million (USD)
Junior Data Analytics Solutions Analyst,$60K-$110K (Glassdoor est.),3.1,"Praescient Analytics
3.1","New York, NY","Alexandria, VA",51 to 200 employees,Consulting,Business Services,$10 to $25 million (USD)
Data Analyst,$60K-$110K (Glassdoor est.),-1,"Capgemini America, Inc.","Jersey City, NJ",-1,-1,-1,-1,-1
Data Analyst w/Capital Markets,$60K-$110K (Glassdoor est.),3.7,"Software Guidance & Assistance
3.7","Jersey City, NJ","Tarrytown, NY",51 to 200 employees,Staffing & Outsourcing,Business Services,$50 to $100 million (USD)
"VP, Research Project Analyst/Data Management",$60K-$110K (Glassdoor est.),3.7,"Citi
3.7","New York, NY","New York, NY",10000+ employees,Investment Banking & Asset Management,Finance,$10+ billion (USD)
Food Data Analyst,$60K-$110K (Glassdoor est.),3.2,"Metropolitan Council on Jewish Poverty
3.2","New York, NY","New York, NY",201 to 500 employees,Social Assistance,Non-Profit,$25 to $50 million (USD)
Data Management Analyst,$60K-$110K (Glassdoor est.),3.6,"TSR Consulting
3.6","New York, NY","Hauppauge, NY",201 to 500 employees,Staffing & Outsourcing,Business Services,$50 to $100 million (USD)
Data Governance Analyst,$60K-$110K (Glassdoor est.),3.6,"UBS
3.6","Weehawken, NJ","Zurich, Switzerland",10000+ employees,Investment Banking & Asset Management,Finance,$10+ billion (USD)
"Data Analyst, Enterprise Analytics",$60K-$110K (Glassdoor est.),3.7,"Take-Two Interactive Software, Inc.
3.7","New York, NY","New York, NY",1001 to 5000 employees,Video Games,Media,$1 to $2 billion (USD)
Data Analytics Solutions Analyst - Mid with Security Clearance,$60K-$110K (Glassdoor est.),3.1,"Praescient Analytics
3.1","New York, NY","Alexandria, VA",51 to 200 employees,Consulting,Business Services,$10 to $25 million (USD)
Data Analyst Assistant,$60K-$110K (Glassdoor est.),-1,Teus Health,"Newark, NJ",-1,-1,-1,-1,-1
Investment Management Summer Analyst Program - Office of COO: Data & Analytics,$60K-$110K (Glassdoor est.),3.8,"Morgan Stanley
3.8","New York, NY","New York, NY",10000+ employees,Investment Banking & Asset Management,Finance,$10+ billion (USD)
Data Collection Analyst,$60K-$110K (Glassdoor est.),4.1,"ICAP at Columbia University
4.1","New York, NY","New York, NY",501 to 1000 employees,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
Data Collection Analyst,$60K-$110K (Glassdoor est.),3.8,"Columbia University Medical Center
3.8","New York, NY","New York, NY",5001 to 10000 employees,Health Care Services & Hospitals,Health Care,$500 million to $1 billion (USD)
Sr Business /Data Analyst- Reference data,$60K-$110K (Glassdoor est.),3.7,"Xoriant Corporation
3.7","Jersey City, NJ","Sunnyvale, CA",1001 to 5000 employees,IT Services,Information Technology,$100 to $500 million (USD)
Data Analyst,$60K-$110K (Glassdoor est.),4.7,"The Denzel Group
4.7","South Plainfield, NJ","Allentown, PA",1 to 50 employees,-1,-1,Unknown / Non-Applicable
SENIOR DATA ANALYST,$60K-$110K (Glassdoor est.),3.7,"Montefiore Medical
3.7","New York, NY","Bronx, NY",10000+ employees,Health Care Services & Hospitals,Health Care,$2 to $5 billion (USD)
Senior Data Analyst / Scientist,$60K-$110K (Glassdoor est.),3.3,"Cedent Consulting
3.3","New York, NY","Frisco, TX",1 to 50 employees,Consulting,Business Services,Less than $1 million (USD)
Senior Data Analyst - Regulatory Reporting,$60K-$110K (Glassdoor est.),3.4,"ACS
3.4","New York, NY","Moore, OK",1 to 50 employees,General Repair & Maintenance,"Construction, Repair & Maintenance",$1 to $5 million (USD)
Data Reporting Analyst,$60K-$110K (Glassdoor est.),3.2,"NADAP
3.2","New York, NY","New York, NY",201 to 500 employees,Social Assistance,Non-Profit,Unknown / Non-Applicable
Data Governance Analyst,$60K-$110K (Glassdoor est.),-1,SGA Inc.,"New York, NY","Bethesda, MD",1 to 50 employees,Architectural & Engineering Services,Business Services,$1 to $5 million (USD)
Data Analyst,$60K-$110K (Glassdoor est.),-1,Newspaper Administration,"New York, NY",-1,-1,-1,-1,-1
Senior Data Analyst (6-12 Month Contract-Remote),$60K-$110K (Glassdoor est.),5,"VISTRADA
5.0","New York, NY","New York, NY",1 to 50 employees,Advertising & Marketing,Business Services,$1 to $5 million (USD)
"Principal Data Analyst, LATAM – Disney Streaming Services",$60K-$110K (Glassdoor est.),3.6,"Disney Streaming Services
3.6","New York, NY","New York, NY",501 to 1000 employees,Internet,Information Technology,Unknown / Non-Applicable
Data Analyst- Win 10 Migration- NYC,$60K-$110K (Glassdoor est.),3,"Royal Communications Consultants Inc
3.0","New York, NY","New York, NY",1 to 50 employees,IT Services,Information Technology,$1 to $5 million (USD)
Data Analyst (35 hours/week),$60K-$110K (Glassdoor est.),3.5,"CASES
3.5","New York, NY","Brooklyn, NY",201 to 500 employees,Social Assistance,Non-Profit,$10 to $25 million (USD)
Tech Business/Data Analyst,$60K-$110K (Glassdoor est.),1,"Sphinix Network Solutions Inc.
1.0","New York, NY","New York, NY",1 to 50 employees,IT Services,Information Technology,Less than $1 million (USD)
Data Analyst,$41K-$78K (Glassdoor est.),5,"Staffigo Technical Services, LLC
5.0","New York, NY","Woodridge, IL",51 to 200 employees,IT Services,Information Technology,$50 to $100 million (USD)
"Senior Data Analyst, Financial Services",$41K-$78K (Glassdoor est.),5,"Earnest Research
5.0","New York, NY","New York, NY",51 to 200 employees,Research & Development,Business Services,Unknown / Non-Applicable
"Enterprise Data, Financial Data Analyst - Content Design Specialist Contractor",$41K-$78K (Glassdoor est.),3.8,"Bloomberg
3.8","New York, NY","New York, NY",10000+ employees,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable
Data Analyst,$41K-$78K (Glassdoor est.),4.1,"APN Software Services Inc.
4.1","New York, NY","Newark, CA",51 to 200 employees,Computer Hardware & Software,Information Technology,$25 to $50 million (USD)
Data Analyst,$41K-$78K (Glassdoor est.),3.3,"Acacia Network
3.3","Bronx, NY","Bronx, NY",1001 to 5000 employees,Social Assistance,Non-Profit,$100 to $500 million (USD)
Senior Data Analyst,$41K-$78K (Glassdoor est.),-1,Miller Cang Agency,"New York, NY",-1,-1,-1,-1,-1
Data Remediation Analyst-EK020719A/JL,$41K-$78K (Glassdoor est.),3.5,"EDP World, Inc.
3.5","New York, NY","New York, NY",1 to 50 employees,Staffing & Outsourcing,Business Services,$1 to $5 million (USD)
Business Analyst - Chief Data Office,$41K-$78K (Glassdoor est.),3.7,"Citi
3.7","New York, NY","New York, NY",10000+ employees,Investment Banking & Asset Management,Finance,$10+ billion (USD)
"Senior Analyst, Data Instrumentation & Quality (Disney+)",$41K-$78K (Glassdoor est.),4,"Walt Disney Co.
4.0","New York, NY","Burbank, CA",10000+ employees,Motion Picture Production & Distribution,Media,$10+ billion (USD)
Sr. Data Analyst,$41K-$78K (Glassdoor est.),3.4,"NTT DATA
3.4","New York, NY","Tokyo, Japan",10000+ employees,IT Services,Information Technology,$10+ billion (USD)
Big Data Programmer Analyst,$41K-$78K (Glassdoor est.),3.6,"TSR, Inc.
3.6","Jersey City, NJ","Hauppauge, NY",201 to 500 employees,Staffing & Outsourcing,Business Services,$50 to $100 million (USD)
Lead Data Analyst,$41K-$78K (Glassdoor est.),-1,Attentive,"New York, NY","Braga, Portugal",1 to 50 employees,-1,-1,Unknown / Non-Applicable
Data Analyst,$41K-$78K (Glassdoor est.),3.5,"Fidelis Group
3.5","Little Ferry, NJ","Little Ferry, NJ",51 to 200 employees,Consulting,Business Services,$10 to $25 million (USD)
Data Governance Analyst,$41K-$78K (Glassdoor est.),3.4,"Eclaro
3.4","New York, NY","New York, NY",501 to 1000 employees,Staffing & Outsourcing,Business Services,$25 to $50 million (USD)
Client Service Data Analyst,$41K-$78K (Glassdoor est.),4.1,"Phyton Talent Advisors
4.1","New York, NY","New York, NY",1 to 50 employees,-1,-1,Unknown / Non-Applicable
Financial Data Analyst - Accounting - D3529,$41K-$78K (Glassdoor est.),4.2,"Source of Future Technology Inc
4.2","New York, NY","New York, NY",1 to 50 employees,Computer Hardware & Software,Information Technology,$5 to $10 million (USD)
Data / Business Analyst (SQL/Tableau),$41K-$78K (Glassdoor est.),-1,Wayne Technologies - CHURN,"New York, NY",-1,-1,-1,-1,-1
"Data Processing & Performance Analyst New York, NY",$41K-$78K (Glassdoor est.),2.7,"Brink's
2.7","New York, NY","Richmond, VA",10000+ employees,Security Services,Business Services,$2 to $5 billion (USD)
Data Analyst,$41K-$78K (Glassdoor est.),3.1,"Seven Seven Softwares
3.1","Newark, NJ","Rockaway, NJ",201 to 500 employees,IT Services,Information Technology,$10 to $25 million (USD)
Senior Data Analyst,$41K-$78K (Glassdoor est.),4.5,"Mobilityware
4.5","New York, NY","Irvine, CA",51 to 200 employees,Video Games,Media,Unknown / Non-Applicable
Data Analyst-Junior Profiles also works-Only NY/NJ Candidates Please on w2 Only,$41K-$78K (Glassdoor est.),4.8,"TechProjects
4.8","Jersey City, NJ","North Brunswick, NJ",1 to 50 employees,IT Services,Information Technology,Unknown / Non-Applicable
Business Analyst-Market Data,$41K-$78K (Glassdoor est.),4.1,"Mitchell Martin
4.1","Jersey City, NJ","New York, NY",501 to 1000 employees,Staffing & Outsourcing,Business Services,$100 to $500 million (USD)
Content Analyst/Data BA-Bus/Tech Strategy - Investment Bank,$41K-$78K (Glassdoor est.),3,"RMS Computer Corporation
3.0","Jersey City, NJ","New York, NY",201 to 500 employees,Computer Hardware & Software,Information Technology,$25 to $50 million (USD)
Data Analyst,$41K-$78K (Glassdoor est.),2.7,"ProHEALTH Care
2.7","Lake Success, NY","Lake Success, NY",1001 to 5000 employees,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
"Senior Analyst, AB Testing and Data Operations",$41K-$78K (Glassdoor est.),3.5,"2U
3.5","New York, NY","Lanham, MD",1001 to 5000 employees,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD)
Data Warehouse Analyst,$41K-$78K (Glassdoor est.),-1,SIAL TECHNOLOGY PARTNERS,"New York, NY","Princeton, NJ",1 to 50 employees,-1,-1,Unknown / Non-Applicable
Data Analyst I - Geriatrics and Palliative Care,$41K-$78K (Glassdoor est.),3.1,"Mount Sinai Medical Center
3.1","New York, NY","Miami Beach, FL",1001 to 5000 employees,Health Care Services & Hospitals,Health Care,$500 million to $1 billion (USD)
Data Analyst,$41K-$78K (Glassdoor est.),5,"Professional Resource Group
5.0","Lake Success, NY","Spring, TX",1 to 50 employees,Advertising & Marketing,Business Services,Less than $1 million (USD)
Senior Business and Data Analyst,$41K-$78K (Glassdoor est.),3.9,"JPMorgan Chase
3.9","New York, NY","New York, NY",10000+ employees,Investment Banking & Asset Management,Finance,$10+ billion (USD)
Data Analyst II,$45K-$88K (Glassdoor est.),3.8,"Capgemini
3.8","Jersey City, NJ","Paris, France",10000+ employees,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD)
